country,year,indicator,hh,hh_lo,hh_hi,plot,plot_lo,plot_hi,area,area_lo,area_hi,n_plot,n_hh
Ethiopia,2012,parcel_rentedin,0.24751842687887768,0.21767099708140514,0.2773658566763502,0.1295899957249417,0.11144285694655204,0.14773713450333137,0.09962667035904406,0.07153855184376202,0.12771478887432608,10800,3118
Ethiopia,2012,parcel_rentedout,0.07257719015155775,0.05685472295165674,0.08829965735145875,0.031590384930026284,0.024828203056380796,0.03835256680367177,0.013386629036749911,0.006237973484021265,0.020535284589478557,10800,3118
Ethiopia,2012,parcel_purchased,,,,,,,,,,0,0
Ethiopia,2012,parcel_certificate,0.48615429955434464,0.43461499583830293,0.5376936032703863,0.4575160251781064,0.4086301244313193,0.5064019259248935,0.5604044241400356,0.47015259777726326,0.6506562505028078,9678,2840
Ethiopia,2014,parcel_rentedin,0.2593608379943284,0.22950754110524674,0.2892141348834101,0.11736926978279057,0.0988628942988955,0.13587564526668564,0.12697692988209533,0.10193493211336728,0.1520189276508234,13768,3606
Ethiopia,2014,parcel_rentedout,0.13244294463397177,0.109958510430002,0.15492737883794153,0.05262940685043363,0.0436341749522053,0.06162463874866196,0.0485930635829008,0.032542857598363034,0.06464326956743857,13768,3606
Ethiopia,2014,parcel_purchased,,,,,,,,,,0,0
Ethiopia,2014,parcel_certificate,0.5369834873260311,0.4933194011533531,0.5806475734987091,0.5101608251655346,0.462832035114902,0.5574896152161672,0.5169343472183194,0.46368224519895707,0.5701864492376818,12371,3582
Ethiopia,2016,parcel_rentedin,0.27692821741634577,0.24541953611299022,0.3084368987197013,0.11114211410763893,0.09666334538850775,0.12562088282677009,0.13224151903289724,0.10854323712493087,0.1559398009408636,15228,3624
Ethiopia,2016,parcel_rentedout,0.1776859019748984,0.1495898238623912,0.20578198008740559,0.06378105436645728,0.05253703506163315,0.07502507367128142,0.046304293043361866,0.01815164829282209,0.07445693779390164,15228,3624
Ethiopia,2016,parcel_purchased,0.09869253119122068,0.07303303197588319,0.12435203040655816,0.03965134383624074,0.023562420271413163,0.05574026740106832,0.03372188442013571,0.014780151624502174,0.052663617215769246,12850,3619
